"","temp","dewp","max","min","NUM_CRIMES"
"712",25.2,21,33.8,14,629
"713",15,7,32,7,574
"714",9.6,-0.3,21.9,1.9,610
"715",3.9,-6.7,19,-2,580
"716",11.7,2.5,19,0,695
"717",20.4,16.3,21.9,7,614
"718",11.3,4.4,21.9,-2,526
"719",-0.6,-10.3,18,-13,660
"720",19.6,7.6,28,12.9,693
"721",26,18.7,34,14,728
"722",34.1,25.7,37,19,702
"723",30.6,25.2,37,24.1,728
"724",34.9,31.3,37.9,27.1,604
"725",33.3,30.4,37.9,32,488
"726",45.1,39.2,54,32,647
"727",28,18.5,37.9,25,663
"728",29.6,22,45,19,722
"729",33.6,25.3,45,19.2,647
"730",29.3,17.1,35.1,24.1,742
"731",35.5,21.4,39.9,24.1,704
"733",34,27.9,39.9,17.1,613
"734",38.2,36.9,39.9,25.2,718
"735",18.2,9,39,9,612
"736",9.3,-1.5,19,6.1,611
"737",4.4,-6.4,12.9,0,601
"738",6.5,-4.8,18,0,618
"739",9.2,-4.2,18,0,591
"740",21.5,10.5,28,3,713
"741",37.5,32.2,51.8,27,705
"742",31.6,26.3,51.1,25,663
"743",26.1,23.2,43,21,644
"744",19.9,9.7,28,16,800
"745",28.9,19.3,35.1,16,685
"746",26,17.5,36,19.9,656
"747",32.6,28.2,36,19.9,652
"748",37.2,36.2,39,30.2,705
"749",34.7,32.9,39,33.1,707
"750",35.8,33.4,42.8,30,738
"751",39,37.6,42.1,30.2,783
"752",48.2,44.3,59,37.9,786
"753",42.8,39.6,59,37.9,742
